"median_list_price","median_value_per_sqft","ZIP"
299000,147,98001
208000,137,98002
225000,136,98003
998800,473,98004
649000,287,98005
775000,274,98006
360900,259,98007
575000,267,98008
280000,177,98010
439000,205,98011
5e+05,211,98014
437500,189,98019
315000,174,98022
280000,141,98023
585000,245,98024
437500,206,98025
520000,249,98027
440000,214,98028
515000,259,98029
260000,143,98030
270000,143,98031
219000,144,98032
750000,342,98033
425000,236,98034
355000,167,98038
3288000,662,98039
1195000,390,98040
3e+05,151,98042
424900,210,98045
219500,138,98047
480000,222,98050
6e+05,204,98051
599000,265,98052
675000,259,98053
279800,164,98055
425000,200,98056
250000,208,98057
329000,168,98058
515000,199,98059
489000,206,98065
