propertyid,transdate,transvalue,transdate_previous,transvalue_previous,bathroomcnt,bedroomcnt,builtyear,finishedsquarefeet,lotsizesquarefeet,storycnt,latitude,longitude,usecode,censustract,viewtypeid
48650729,11/16/2005,231000,12/16/1994,129500,2,3,1964,2110,8413,1,47469470,-122282926,9,28200,
48650769,9/23/2005,229950,11/3/1998,138000,0.75,2,1942,1220,16867,1,47468266,-122283976,9,28200,
48650769,9/23/2005,229950,7/26/2002,184000,0.75,2,1942,1220,16867,1,47468266,-122283976,9,28200,
48650837,11/29/2005,60000,,,1,3,1935,1060,39060,1,47469990,-122275028,9,28200,
48651057,11/16/2005,1010000,5/30/1995,552000,2.25,4,1991,5410,15002,1,47332382,-122355990,9,30100,3
48651057,11/16/2005,1010000,11/28/2000,700000,2.25,4,1991,5410,15002,1,47332382,-122355990,9,30100,3
48651301,10/4/2005,327450,9/20/1989,129950,2.25,4,1989,1940,8306,2,47358048,-122284696,9,29801,
48651493,11/17/2005,389000,5/15/1995,157000,1,2,1911,890,2484,1,47668783,-122315814,9,4400,
48651493,11/17/2005,389000,11/24/1997,136000,1,2,1911,890,2484,1,47668783,-122315814,9,4400,
48651493,11/17/2005,389000,9/29/1998,204500,1,2,1911,890,2484,1,47668783,-122315814,9,4400,
48651493,11/17/2005,389000,3/22/2000,254100,1,2,1911,890,2484,1,47668783,-122315814,9,4400,
48651845,9/20/2005,238000,,,1,2,1952,670,18000,1,47457808,-122186587,9,25801,
48651969,11/3/2005,385000,,,1,2,1921,1010,4000,1,47685275,-122354245,9,2800,2
48652109,12/22/2005,310000,,,2.5,3,1994,1620,6312,2,47285298,-122302194,9,30401,
48652409,10/17/2005,220000,,,1.75,3,1981,1400,7350,1,47313087,-122356699,9,30308,
48652733,10/28/2005,309950,8/29/2003,240000,2.5,3,1989,1970,6489,2,47306626,-122357011,9,30308,
48652777,12/9/2005,264950,,,1.75,3,1988,1340,6815,1,47307999,-122357867,9,30308,
