"zip","name","empflag","emp","qp1","ap","est"
"00501","HOLTSVILLE, NY","B",0,0,0,2
"01001","AGAWAM, MA","I",0,0,0,509
"01002","AMHERST, MA",,6691,43876,192996,589
"01003","AMHERST, MA",,115,582,2631,12
"01004","AMHERST, MA",,10356,7958,46893,31
"01005","BARRE, MA",,963,6610,28283,94
"01007","BELCHERTOWN, MA",,1609,9954,45088,225
"01008","BLANDFORD, MA",,315,635,2543,19
"01009","BONDSVILLE, MA",,172,1311,6189,22
"01010","BRIMFIELD, MA",,469,3724,15940,64
"01011","CHESTER, MA",,48,274,1371,17
"01012","CHESTERFIELD, MA",,69,391,1826,14
"01013","CHICOPEE, MA",,5570,53977,198343,361
"01014","CHICOPEE, MA",,100,426,1852,7
"01020","CHICOPEE, MA",,7856,58083,263498,535
"01021","CHICOPEE, MA",,383,2242,8599,17
"01022","CHICOPEE, MA",,2874,25051,119283,55
"01026","CUMMINGTON, MA",,152,1170,4757,18
"01027","EASTHAMPTON, MA",,4621,31600,134820,367
"01028","EAST LONGMEADOW, MA",,8530,68969,298582,480
"01029","EAST OTIS, MA",,111,677,3521,21
"01030","FEEDING HILLS, MA",,1098,5444,25269,193
"01031","GILBERTVILLE, MA",,139,488,2736,25
"01032","GOSHEN, MA",,102,510,2659,16
"01033","GRANBY, MA",,720,3928,17110,118
"01034","GRANVILLE, MA",,83,521,2817,33
"01035","HADLEY, MA",,6908,27701,132958,280
"01036","HAMPDEN, MA",,695,4372,23593,105
"01037","HARDWICK, MA",,199,1503,6536,15
"01038","HATFIELD, MA",,703,6547,28575,54
"01039","HAYDENVILLE, MA",,217,1601,7283,37
"01040","HOLYOKE, MA",,18288,140314,571142,958
"01041","HOLYOKE, MA",,1379,9288,40250,61
"01050","HUNTINGTON, MA",,194,773,3551,33
"01053","LEEDS, MA",,989,10275,42059,33
"01054","LEVERETT, MA",,121,641,3914,40
"01056","LUDLOW, MA",,3971,31159,151953,443
"01057","MONSON, MA",,942,6953,32942,170
"01059","NORTH AMHERST, MA",,214,1409,6133,15
"01060","NORTHAMPTON, MA",,11414,84474,357832,819
"01061","NORTHAMPTON, MA",,246,2318,11659,29
"01062","FLORENCE, MA",,1307,8206,37173,168
"01063","NORTHAMPTON, MA","H",0,0,0,3
"01066","NORTH HATFIELD, MA","F",0,0,0,11
"01068","OAKHAM, MA",,115,659,3444,24
"01069","PALMER, MA",,3629,29070,134367,276
"01070","PLAINFIELD, MA",,29,201,470,7
"01071","RUSSELL, MA",,127,948,3996,24
"01072","SHUTESBURY, MA",,54,185,889,17
"01073","SOUTHAMPTON, MA",,897,5127,23182,118
"01074","SOUTH BARRE, MA",,91,577,2988,12
"01075","SOUTH HADLEY, MA",,5263,33160,140534,291
"01077","SOUTHWICK, MA",,2063,14506,64925,228
"01079","THORNDIKE, MA",,95,780,2932,13
"01080","THREE RIVERS, MA",,393,2298,9912,43
"01081","WALES, MA",,78,460,1921,21
"01082","WARE, MA",,2255,16068,67828,194
"01083","WARREN, MA",,324,3311,14043,50
"01084","WEST CHESTERFIELD, MA","A",0,0,0,1
"01085","WESTFIELD, MA",,12644,95462,418781,872
"01086","WESTFIELD, MA",,677,4048,17249,35
"01088","WEST HATFIELD, MA",,159,1376,6761,19
"01089","WEST SPRINGFIELD, MA",,16767,123498,530006,995
"01090","WEST SPRINGFIELD, MA",,241,2904,11739,22
"01092","WEST WARREN, MA",,625,5200,22232,18
"01093","WHATELY, MA",,946,8700,35887,35
"01094","WHEELWRIGHT, MA","B",0,0,0,5
"01095","WILBRAHAM, MA",,3741,29623,123636,308
"01096","WILLIAMSBURG, MA",,326,1514,6821,44
"01098","WORTHINGTON, MA",,221,1187,6070,29
"01101","SPRINGFIELD, MA",,1657,10194,44089,48
"01102","SPRINGFIELD, MA",,2836,26950,121083,25
"01103","SPRINGFIELD, MA",,7463,63085,272719,632
"01104","SPRINGFIELD, MA",,13449,112897,497328,556
"01105","SPRINGFIELD, MA",,5393,43500,181788,309
"01106","LONGMEADOW, MA",,2891,17423,78780,243
"01107","SPRINGFIELD, MA",,2233,25236,116476,151
"01108","SPRINGFIELD, MA",,3185,16430,68864,296
"01109","SPRINGFIELD, MA",,5666,34785,150838,318
"01111","SPRINGFIELD, MA","H",0,0,0,8
"01114","SPRINGFIELD, MA","C",0,0,0,1
"01115","SPRINGFIELD, MA",,1097,47988,107395,65
"01116","LONGMEADOW, MA",,7,44,125,4
"01118","SPRINGFIELD, MA",,1576,12910,60905,146
"01119","SPRINGFIELD, MA",,3705,18331,77621,140
"01128","SPRINGFIELD, MA",,748,3451,14032,47
"01129","SPRINGFIELD, MA",,3035,14194,58852,202
"01133","SPRINGFIELD, MA","C",0,0,0,1
"01138","SPRINGFIELD, MA",,62,420,1951,9
"01139","SPRINGFIELD, MA","C",0,0,0,3
"01144","SPRINGFIELD, MA",,1234,14935,63314,49
"01151","INDIAN ORCHARD, MA",,1643,19425,78192,144
"01152","SPRINGFIELD, MA","A",0,0,0,1
"01199","SPRINGFIELD, MA","I",0,0,0,7
"01201","PITTSFIELD, MA",,24065,218928,908051,1350
"01202","PITTSFIELD, MA",,508,3809,17711,38
"01203","PITTSFIELD, MA","A",0,0,0,2
"01220","ADAMS, MA",,1776,12599,51635,174
"01222","ASHLEY FALLS, MA",,45,258,1124,16
"01223","BECKET, MA",,243,1396,8744,51
"01224","BERKSHIRE, MA",,47,226,1033,5
"01225","CHESHIRE, MA",,421,2297,10659,54
"01226","DALTON, MA",,2061,17525,74932,132
"01227","DALTON, MA",,150,1346,6720,14
"01229","GLENDALE, MA",,31,121,534,5
"01230","GREAT BARRINGTON, MA",,5092,32033,138545,450
"01235","HINSDALE, MA",,136,881,5018,48
"01236","HOUSATONIC, MA",,632,5251,21126,49
"01237","LANESBORO, MA",,2363,10355,44522,173
"01238","LEE, MA",,3105,21325,91940,313
"01240","LENOX, MA",,3615,21639,98174,234
"01242","LENOX DALE, MA",,129,733,3140,22
"01243","MIDDLEFIELD, MA",,33,201,922,7
"01244","MILL RIVER, MA",,9,67,348,6
"01245","MONTEREY, MA",,122,861,4429,28
"01247","NORTH ADAMS, MA",,4980,35283,149388,407
"01252","NORTH EGREMONT, MA",,31,101,543,12
"01253","OTIS, MA",,102,462,2188,24
"01254","RICHMOND, MA",,110,617,3324,34
"01255","SANDISFIELD, MA",,93,616,2801,15
"01256","SAVOY, MA",,13,106,486,5
"01257","SHEFFIELD, MA",,1018,8557,39420,119
"01258","SOUTH EGREMONT, MA",,356,1604,4527,34
"01259","SOUTHFIELD, MA",,81,637,3319,23
"01260","SOUTH LEE, MA",,915,8276,32329,15
"01262","STOCKBRIDGE, MA",,996,7602,34998,91
"01264","TYRINGHAM, MA",,15,69,330,7
"01266","WEST STOCKBRIDGE, MA",,204,1253,7469,63
"01267","WILLIAMSTOWN, MA",,4749,36510,181718,221
"01270","WINDSOR, MA",,94,418,1905,13
"01301","GREENFIELD, MA",,8323,52735,225550,567
"01302","GREENFIELD, MA",,746,9254,37044,39
"01330","ASHFIELD, MA",,147,763,3755,32
"01331","ATHOL, MA",,3223,22632,96427,236
"01337","BERNARDSTON, MA",,333,1689,8392,50
"01338","BUCKLAND, MA",,35,160,1172,11
"01339","CHARLEMONT, MA",,360,1179,4454,28
"01340","COLRAIN, MA",,141,851,3584,26
"01341","CONWAY, MA",,105,617,2701,33
"01342","DEERFIELD, MA",,988,6941,30090,33
"01344","ERVING, MA",,208,1768,7815,13
"01346","HEATH, MA",,23,155,511,7
"01347","LAKE PLEASANT, MA","A",0,0,0,2
"01349","MILLERS FALLS, MA",,113,465,1956,12
"01350","MONROE BRIDGE, MA","A",0,0,0,2
"01351","MONTAGUE, MA",,172,839,4431,42
"01354","GILL, MA",,19,70,545,16
"01355","NEW SALEM, MA",,59,376,1796,16
"01360","NORTHFIELD, MA",,916,6483,30702,44
"01364","ORANGE, MA",,1429,9676,43825,147
"01366","PETERSHAM, MA",,89,305,1804,24
"01367","ROWE, MA",,110,534,2038,11
"01368","ROYALSTON, MA",,44,115,496,9
"01370","SHELBURNE FALLS, MA",,898,4722,20385,140
"01373","SOUTH DEERFIELD, MA",,3406,35678,136470,144
"01375","SUNDERLAND, MA",,456,3242,21176,47
"01376","TURNERS FALLS, MA",,2055,15545,65799,131
"01378","WARWICK, MA","A",0,0,0,3
"01379","WENDELL, MA",,195,1354,5595,9
"01380","WENDELL DEPOT, MA","A",0,0,0,1
"01420","FITCHBURG, MA",,10804,81724,340578,858
"01430","ASHBURNHAM, MA",,934,6018,22481,104
"01431","ASHBY, MA",,152,806,3864,58
"01432","AYER, MA",,5762,54440,223894,281
"01434","DEVENS, MA",,364,3853,17071,15
"01436","BALDWINVILLE, MA",,544,4008,17214,38
"01438","EAST TEMPLETON, MA",,222,1344,8149,30
"01440","GARDNER, MA",,6931,46422,202886,433
"01441","WESTMINSTER, MA","F",0,0,0,1
"01450","GROTON, MA",,1353,11127,51188,199
"01451","HARVARD, MA",,782,6928,32942,168
"01452","HUBBARDSTON, MA",,408,2439,10529,71
"01453","LEOMINSTER, MA",,18260,130511,560746,1159
"01460","LITTLETON, MA",,6504,87720,419211,346
"01462","LUNENBURG, MA",,1853,15588,73526,218
